name,type,subtype,rarity,cost,weight,description,attunement
Wand of Wonder,Wand,,Rare (Requires Attunement),"4,000 GP",0," Wand of Wonder Wand, Rare (Requires Attunement) This wand has 7 charges. While holding it, you can take a Magic action to expend 1 charge while choosing a point within 120 feet of yourself. That location becomes the point of origin of a spell or other magical effect determined by rolling on the Wand of Wonder Effects table. Spells cast from the wand have a save DC of 15. If a spell's maximum range is normally less than 120 feet, it becomes 120 feet when cast from the wand. If an effect has multiple possible subjects, the DM determines randomly which among them are affected. Regaining Charges. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll 1d20. On a 1, the wand crumbles into dust and is destroyed. Wand of Wonder Effects 1d100 Effect 01-20 You cast a spell originating from the chosen point. Roll 1d10 to determine the spell: on a 1-2 , Darkness ; on a 3-4 , Faerie Fire ; on a 5-6 , Fireball ; on a 7-8 , Slow ; on a 9-10 , Stinking Cloud . 21-25 Nothing happens at the chosen point of origin. Instead, you have the Stunned condition until the start of your next turn, believing something awesome just happened. 26-30 You cast Gust of Wind . The Line created by the spell extends from you to the chosen point of origin. 31-35 Nothing happens at the chosen point of origin. Instead, you take 1d6 Psychic damage. 36-40 Heavy rain falls for 1 minute in a 120-foot-high, 60-foot-radius Cylinder centered on the chosen point of origin. During that time, the area of effect is Lightly Obscured. 41-45 A cloud of 600 oversized butterflies fills a 60-foot-high, 30-foot-radius Cylinder centered on the chosen point of origin. The butterflies remain for 10 minutes, during which time the area of effect is Heavily Obscured. 46-50 You cast L ightning Bolt . The Line created by the spell extends from you to the chosen point of origin. 51-55 The creature closest to the chosen point of origin is enlarged as if you had cast Enlarge/Reduce on it. If the target isn't you and can't be affected by that spell, you become the target instead. 56-60 A magically formed creature appears in an unoccupied space as close to the chosen point of origin as possible. The creature isn't under your control, acts as it normally would, and disappears after 1 hour or when it drops to 0 Hit Points. Roll 1d4 to determine which creature appears. On a 1 , a Rhinoceros appears; on a 2 , an Elephant appears; and on a 3-4 , a Rat appears. 61-64 Grass covers a 60-foot-radius circle of ground, with the center of that circle as close to the chosen point of origin as possible. Grass that's already there grows to ten times its normal size and remains overgrown for 1 minute. 65-68 An object of the DM's choice disappears into the Ethereal Plane. The object must be neither worn nor carried, within 120 feet of the chosen point of origin, and no larger than 10 feet in any dimension. If there are no such objects in range, nothing happens. 69-72 Nothing happens at the chosen point of origin. Instead, you shrink as if you had cast Enlarge/Reduce on yourself and remain in that state for 1 minute. 73-77 Leaves grow from the creature nearest to the chosen point of origin. Unless they are picked off, the leaves turn brown and fall off after 24 hours. 78-82 Nothing happens at the chosen point of origin. Instead, a burst of colorful, shimmering light extends from you in a 30-foot Emanation. Each creature in the area must succeed on a DC 15 Constitution saving throw or have the Blinded condition for 1 minute. A creature repeats the save at the end of each of its turns, ending the effect on itself on a success. 83-87 Nothing happens at the chosen point of origin. Instead, you cast Invisibility on yourself. 88-92 Nothing happens at the chosen point of origin. Instead, a stream of 1d4 x 10 gems, each worth 1 GP, shoots from the wand's tip in a Line 30 feet long and 5 feet wide toward the chosen point of origin. Each gem deals 1 Bludgeoning damage, and the total damage of the gems is divided equally among all creatures in the Line. 93-97 You cast Polymorph , targeting the creature closest to the chosen point of origin. Roll 1d4 to determine the target's new form. On a 1 , the new form is a Black Bear ; on a 2 , the new form is a Giant Wasp ; on a 3-4 , the new form is a Frog . 98-100 The creature closest to the chosen point of origin makes a DC 15 Constitution saving throw. On a failed save, the creature has the Restrained condition and begins to turn to stone. While Restrained in this way, the creature repeats the save at the end of its next turn. On a successful save, the effect ends. On a failed save, the creature has the Petrified condition instead of the Restrained condition. The petrification lasts until the creature is freed by the Greater Restoration spell or similar magic. ",TRUE
War Pick,Weapon,Martial Weapons,,5 gp,2, ,FALSE
War Pick of Warning,Weapon,Martial Weapons,Uncommon (Requires Attunement),101 - 500 gp,2," Description This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. ",TRUE
"War Pick, +1",Weapon,Martial Weapons,Uncommon,101 - 500 gp,2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"War Pick, +2",Weapon,Martial Melee Weapons,Rare,"4,005 gp",2," Weapon Notes Weapon, +2 Weapon (Any Simple or Martial), Rare You have a bonus to attack rolls and damage rolls made with this magic weapon. The bonus is determined by the weapon's rarity. ",FALSE
"War Pick, +3",Weapon,Martial Weapons,Very Rare,"5,001 - 50,000 gp",2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +3 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
Wargong,Tools,Musical Instruments,,10 gp,2," A metal gong, traditionally made from a shield, particularly the shield of an enemy. Both goblins and dwarves make and play wargongs, their sound echoing through tunnels in the Underdark. ",FALSE
Warhammer,Weapon,Martial Weapons,,15 gp,2, ,FALSE
"Warhammer of Thunderbolts, +1",Weapon,Martial Melee Weapons,Legendary (Requires Attunement),"200,015 gp",5," Hammer of Thunderbolts Notes Hammer of Thunderbolts Weapon (Maul or Warhammer), Legendary (Requires Attunement) You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. The weapon has 5 charges. You can expend 1 charge and make a ranged attack with the weapon, hurling it as if it had the Thrown property with a normal range of 20 feet and a long range of 60 feet. If the attack hits, the weapon unleashes a thunderclap audible out to 300 feet. The target and every creature within 30 feet of it other than you must succeed on a DC 17 Constitution saving throw or have the Stunned condition until the end of your next turn. Immediately after hitting or missing, the weapon flies back to your hand. The weapon regains 1d4 + 1 expended charges daily at dawn. Giant's Bane. While you are attuned to the weapon and wearing either a Belt of Giant Strength or Gauntlets of Ogre Power to which you are also attuned, you gain the following benefits: Giants' Bane. When you roll a 20 on the d20 for an attack roll made with this weapon against a Giant, the creature must succeed on a DC 17 Constitution saving throw or die. Might of Giants. The Strength score bestowed by your Belt of Giant Strength or Gauntlets of Ogre Power increases by 4, to a maximum of 30. ",TRUE
Warhammer of Warning,Weapon,Martial Melee Weapons,Uncommon (Requires Attunement),415 gp,5," Weapon of Warning Notes Weapon of Warning Weapon (Any Simple or Martial), Uncommon (Requires Attunement) As long as this weapon is within your reach and you are attuned to it, you and allies within 30 feet of you gain the following benefits. Alarm. The weapon magically awakens each subject who is sleeping naturally when combat begins. This benefit doesn't wake a subject from magically induced sleep. Supernatural Readiness. Each subject has Advantage on its Initiative rolls. ",TRUE
"Warhammer, +1",Weapon,Martial Weapons,Uncommon,101 - 500 gp,2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Warhammer, +2",Weapon,Martial Weapons,Rare,"501 - 5,000 gp",2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +2 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Warhammer, +3",Weapon,Martial Melee Weapons,Very Rare,"40,015 gp",5," Weapon Notes Weapon, +3 Weapon (Any Simple or Martial), Very Rare You have a bonus to attack rolls and damage rolls made with this magic weapon. The bonus is determined by the weapon's rarity. ",FALSE
Warhorse,Mounts And Other Animals,Mounts & Animals,,400 gp,, ,FALSE
Warship,Waterborne Vehicles,Surface Vehicles,,"25,000 gp",, ,FALSE
Waterskin,Adventuring Gear,Standard,,2 sp,5, ,FALSE
Wave,Weapon,Trident,Legendary (Requires Attunement By A Creature That Worships A God Of The Sea),"50,001 - 100,000 gp",4," Description Held in the dungeon of White Plume Mountain, this trident is an exquisite weapon engraved with images of waves, shells, and sea creatures. Although you must worship a god of the sea to attune to this weapon, Wave happily accepts new converts. You gain a +3 bonus to attack and damage rolls made with this magic weapon. If you score a critical hit with it, the target takes extra necrotic damage equal to half its hit point maximum. The weapon also functions as a trident of fish command and a weapon of warning. It can confer the benefit of a cap of water breathing while you hold it, and you can use it as a cube of force by choosing the effect, instead of pressing cube sides to select it. Sentience. Wave is a sentient weapon of neutral alignment, with an Intelligence of 14, a Wisdom of 10, and a Charisma of 18. It has hearing and darkvision out to a range of 120 feet. The weapon communicates telepathically with its wielder and can speak, read, and understand Aquan. It can also speak with aquatic animals as if using a speak with animals spell, using telepathy to involve its wielder in the conversation. Personality. When it grows restless, Wave has a habit of humming tunes that vary from sea chanteys to sacred hymns of the sea gods. Wave zealously desires to convert mortals to the worship of one or more sea gods, or else to consign the faithless to death. Conflict arises if the wielder fails to further the weapon's objectives in the world. The trident has a nostalgic attachment to the place where it was forged, a desolate island called Thunderforge. A sea god imprisoned a family of storm giants there, and the giants forged Wave in an act of devotion to-or rebellion against-that god. Wave harbors a secret doubt about its own nature and purpose. For all its devotion to the sea gods, Wave fears that it was intended to bring about a particular sea god's demise. This destiny is something Wave might not be able to avert. ",TRUE
Wax Candle,Adventuring Gear,Treasure,,-,0.1, A small green wax candle ,FALSE
